School,From,To
Regis (CO) Rangers,1962,1964
Rensselaer Engineers,1901,1924
Rhode Island,1904,2024
Rice,1915,2024
Richmond,1913,2024
Rider,1929,2024
Ripon Red Hawks,1902,1922
Roanoke Maroons,1912,1919
Robert Morris,1977,2024
Rochester (NY) Yellowjackets,1910,1944
Rose-Hulman Fightin' Engineers,1898,1898
Rutgers,1914,2024
Sacramento State,1992,2024
Sacred Heart,2000,2024
Saint Francis (PA),1956,2024
Saint Joseph's,1910,2024
Saint Louis,1916,2024
Saint Mary's (CA),1910,2024
Saint Peter's,1966,2024
Sam Houston,1987,2024
Samford,1973,2024
San Diego,1980,2024
San Diego State,1971,2024
San Francisco,1924,2024
San Jose State,1938,2024
Santa Clara,1909,2024
Savage School of Physical Education,1896,1898
Savannah State Tigers,2003,2019
Scranton Royals,1948,1948
Seattle,1953,2024
Seton Hall,1909,2024
Sewanee Tigers,1923,1941
Siena,1939,2024
South Alabama,1972,2024
South Carolina,1909,2024
South Carolina State,1972,2024
South Carolina Upstate,2011,2024
South Dakota,2011,2024
South Dakota State,2009,2024
South Florida,1974,2024
Southeast Missouri State,1992,2024
Southeastern Louisiana,1981,2024
Southern,1978,2024
Southern California,1907,2024
Southern Illinois,1968,2024
Southern Illinois-Edwardsville,2011,2024
Southern Indiana,2023,2024
Southern Methodist,1917,2024
Southern Mississippi,1973,2024
Southern Utah,1989,2024
Southwestern (KS) Moundbuilders,1905,1923
Southwestern (TX) Pirates,1915,1916
Springfield Pride,1897,1935
St. Bonaventure,1920,2024
St. Francis (NY) Terriers,1902,2023
St. John's (NY),1908,2024
St. John's College (OH),1921,1921
St. Lawrence Saints,1902,1914
St. Thomas,2022,2024
Stanford,1914,2024
Stephen F. Austin,1987,2024
Stetson,1972,2024
Stevens Institute Ducks,1917,1920
Stonehill,2023,2024
Stony Brook,2000,2024
SUNY-Potsdam Bears,1910,1913
Swarthmore Garnet,1906,1919
Syracuse,1901,2024
Tarleton State,2021,2024
TCU,1914,2024
Temple,1895,2024
Tennessee,1909,2024
Tennessee State,1978,2024
Tennessee Tech,1944,2024
Tennessee-Martin,1993,2024
Texas,1906,2024
Texas A&M,1913,2024
Texas A&M-Commerce,2023,2024
Texas A&M-Corpus Christi,2003,2024
Texas Southern,1978,2024
Texas State,1985,2024
Texas Tech,1926,2024
Texas Wesleyan Rams,1948,1948
Texas-Rio Grande Valley,1969,2024
The Citadel,1913,2024
Toledo,1916,2024
Towson,1980,2024
Trinity (CT) Bantams,1897,1911
Trinity (TX) Tigers,1971,1973
Troy,1994,2024
Tulane,1906,2024
Tulsa,1914,2024
U.S. International Gulls,1982,1991
UAB,1980,2024
UC Davis,2008,2024
UC Irvine,1978,2024
UC Riverside,2002,2024
UC San Diego,2021,2024
UC Santa Barbara,1964,2024
UCF,1985,2024
UCLA,1920,2024
UNC Asheville,1987,2024
UNC Greensboro,1992,2024
UNC Wilmington,1977,2024
Union (NY) Dutchmen,1907,1925
UT Arlington,1969,2024
Utah,1909,2024
Utah State,1904,2024
Utah Tech,2021,2024
Utah Valley,2010,2024
UTEP,1923,2024
Utica Pioneers,1982,1987
UTSA,1982,2024
Valparaiso,1918,2024
Vanderbilt,1901,2024
Vermont,1921,2024
Villanova,1921,2024
Virginia,1906,2024
Virginia Commonwealth,1974,2024
Virginia Military Institute,1909,2024
Virginia Tech,1909,2024
Wabash Little Giants,1897,1925
Wagner,1966,2024
Wake Forest,1906,2024
Washburn Ichabods,1906,1941
Washington,1896,2024
Washington & Jefferson Presidents,1913,1944
Washington & Lee Generals,1907,1959
Washington (MO) Bears,1905,1960
Washington College Shoremen,1913,1925
Washington State,1902,2024
Wayne State (MI) Warriors,1928,1950
Weber State,1964,2024
Wesleyan (CT) Cardinals,1896,1913
West Chester Golden Rams,1899,1982
West Texas A&M Buffaloes,1921,1986
West Virginia,1904,2024
Western Carolina,1977,2024
Western Colorado Mountaineers,1924,1937
Western Illinois,1982,2024
Western Kentucky,1922,2024
Western Michigan,1914,2024
Westminster (MO) Blue Jays,1920,1920
Westminster (PA) Titans,1898,1935
Wheaton (IL) Thunder,1902,1905
Whittier Poets,1909,1915
Wichita State,1906,2024
Widener Pride,1899,1909
William & Mary,1906,2024
Williams Ephs,1901,1911
Winthrop,1987,2024
Wisconsin,1899,2024
Wisconsin-Stevens Point Pointers,1898,1918
Wisconsin-Superior Yellowjackets,1900,1901
Wittenberg Tigers,1931,1931
Wofford,1996,2024
Wooster Fighting Scots,1901,1931
WPI Engineers,1920,1920
Wright State,1988,2024
Wyoming,1905,2024
Xavier,1920,2024
Yale,1896,2024
Youngstown State,1948,2024
